score,0_left,1_left,bad_ratio_left,good_ratio_left,0_right,1_right,bad_ratio_right,good_ratio_right,psi_bad,psi_good
"[300, 350)",3.0,1.0,1.0,0.01,1.0,1.0,1.0,0.0014326647564469914,0.0,0.016646751464627796
"[350, 400)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"[400, 450)",0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0057306590257879654,,inf
"[450, 500)",1.0,0.0,0.0,0.0033333333333333335,2.0,0.0,0.0,0.0028653295128939827,,7.080403944379267e-05
"[500, 550)",1.0,0.0,0.0,0.0033333333333333335,5.0,0.0,0.0,0.0071633237822349575,,0.0029299476123734436
"[550, 600)",1.0,0.0,0.0,0.0033333333333333335,8.0,0.0,0.0,0.011461318051575931,,0.010038101064481263
"[600, 650)",6.0,0.0,0.0,0.02,14.0,0.0,0.0,0.02005730659025788,,1.639674659617359e-07
"[650, 700)",4.0,0.0,0.0,0.013333333333333334,9.0,0.0,0.0,0.012893982808022923,,1.472105966506941e-05
"[700, 750)",2.0,0.0,0.0,0.006666666666666667,10.0,0.0,0.0,0.014326647564469915,,0.005859895224746887
"[750, 800)",3.0,0.0,0.0,0.01,10.0,0.0,0.0,0.014326647564469915,,0.0015555863211800707
"[800, 850)",24.0,0.0,0.0,0.08,70.0,0.0,0.0,0.10028653295128939,,0.004584853489553901
"[850, 900)",22.0,0.0,0.0,0.07333333333333333,46.0,0.0,0.0,0.0659025787965616,,0.0007938846123290861
"[900, 950)",33.0,0.0,0.0,0.11,83.0,0.0,0.0,0.11891117478510028,,0.0006941485979268563
"[950, 1000)",200.0,0.0,0.0,0.6666666666666666,436.0,0.0,0.0,0.6246418338108882,,0.002736310465546938
